coddis,ano,turmas,pfx,matr,semestre,unidade
0060006,2012,1,006,40,1,FSP
0060006,2013,1,006,39,1,FSP
0060006,2014,1,006,40,1,FSP
0060006,2015,1,006,42,1,FSP
0060006,2016,1,006,41,1,FSP
0060006,2017,1,006,36,1,FSP
0060006,2018,1,006,38,1,FSP
0060006,2019,1,006,33,1,FSP
0060006,2020,1,006,40,1,FSP
0060007,2012,1,006,35,2,FSP
0060007,2013,1,006,36,2,FSP
0060007,2014,1,006,37,2,FSP
0060007,2015,1,006,35,2,FSP
0060007,2016,1,006,37,2,FSP
0060007,2017,1,006,31,2,FSP
0060007,2018,1,006,32,2,FSP
0060007,2019,1,006,29,2,FSP
0060007,2020,1,006,35,2,FSP
0060008,2013,1,006,33,1,FSP
0060008,2014,1,006,32,1,FSP
0060008,2015,1,006,33,1,FSP
0060008,2016,1,006,27,1,FSP
0060008,2017,1,006,36,1,FSP
0060008,2018,1,006,24,1,FSP
0060008,2019,1,006,28,1,FSP
0060008,2020,1,006,22,1,FSP
0060009,2013,1,006,31,2,FSP
0060009,2014,1,006,27,2,FSP
0060009,2015,1,006,33,2,FSP
0060009,2016,1,006,24,2,FSP
0060009,2017,1,006,31,2,FSP
0060009,2018,1,006,25,2,FSP
0060009,2019,1,006,26,2,FSP
0060009,2020,1,006,26,2,FSP
0060010,2014,1,006,31,1,FSP
0060010,2015,1,006,26,1,FSP
0060010,2016,1,006,33,1,FSP
0060010,2017,1,006,21,1,FSP
0060010,2018,1,006,28,1,FSP
0060010,2019,1,006,24,1,FSP
0060010,2020,1,006,24,1,FSP
0060011,2014,1,006,30,2,FSP
0060011,2015,1,006,25,2,FSP
0060011,2016,1,006,34,2,FSP
0060011,2017,1,006,23,2,FSP
0060011,2018,1,006,34,2,FSP
0060011,2019,1,006,24,2,FSP
0060011,2020,1,006,28,2,FSP
0060013,2012,2,006,78,1,FSP
0060013,2013,2,006,80,1,FSP
0060013,2014,2,006,83,1,FSP
0060013,2015,2,006,83,1,FSP
0060013,2016,2,006,81,1,FSP
0060013,2017,2,006,83,1,FSP
0060013,2018,2,006,82,1,FSP
0060013,2019,2,006,89,1,FSP
0060013,2020,2,006,85,1,FSP
0060014,2012,2,006,76,2,FSP
0060014,2013,2,006,75,2,FSP
0060014,2014,2,006,89,2,FSP
0060014,2015,2,006,79,2,FSP
0060014,2016,2,006,81,2,FSP
0060014,2017,2,006,78,2,FSP
0060014,2018,2,006,78,2,FSP
0060014,2019,2,006,88,2,FSP
0060014,2020,2,006,78,2,FSP
0060015,2013,1,006,26,2,FSP
0060016,2014,1,006,25,1,FSP
0060016,2015,1,006,26,1,FSP
0060016,2016,1,006,35,1,FSP
0060016,2017,1,006,22,1,FSP
0060017,2015,1,006,29,1,FSP
0060017,2016,1,006,26,1,FSP
0060017,2017,1,006,31,1,FSP
0060017,2018,1,006,19,1,FSP
0060017,2019,1,006,28,1,FSP
0060017,2020,1,006,21,1,FSP
0060018,2013,2,006,73,1,FSP
0060018,2014,2,006,73,1,FSP
0060018,2015,2,006,77,1,FSP
0060018,2016,2,006,78,1,FSP
0060018,2017,2,006,76,1,FSP
0060018,2018,2,006,71,1,FSP
0060018,2019,2,006,68,1,FSP
0060018,2020,2,006,83,1,FSP
0060019,2013,2,006,75,2,FSP
0060019,2014,2,006,72,2,FSP
0060019,2015,2,006,78,2,FSP
0060019,2016,2,006,82,2,FSP
0060019,2017,2,006,75,2,FSP
0060019,2018,2,006,71,2,FSP
0060019,2019,2,006,75,2,FSP
0060019,2020,2,006,98,2,FSP
0060020,2014,2,006,67,1,FSP
0060020,2015,2,006,72,1,FSP
0060020,2016,2,006,79,1,FSP
0060020,2017,2,006,84,1,FSP
0060020,2018,2,006,77,1,FSP
0060020,2019,2,006,68,1,FSP
0060020,2020,2,006,65,1,FSP
0060021,2014,2,006,63,2,FSP
0060021,2015,2,006,78,2,FSP
0060021,2016,2,006,79,2,FSP
