ano,sem,codclg,codcur,codhab,staalu,codund,sglund,nomcur,nomhab,matr
2012,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,52
2012,1,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,3
2012,1,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),165
2012,1,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),2
2012,1,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),51
2012,1,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),2
2012,1,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),53
2012,1,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),5
2012,1,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),38
2012,1,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,31
2012,2,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,47
2012,2,1,1020,Sem cadastro,T,1,RUSP,Ciências Moleculares,,1
2012,2,1,1080,101,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),144
2012,2,1,1080,101,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Paulo),3
2012,2,1,1080,201,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),44
2012,2,1,1080,201,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Piracicaba),5
2012,2,1,1080,301,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),47
2012,2,1,1080,301,T,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo Ribeirão Preto),5
2012,2,1,1080,401,M,1,RUSP,Licenciatura em Ciências,Licenciatura em Ciências (Polo São Carlos),33
2012,2,1,Sem cadastro,Sem cadastro,M,1,RUSP,,,24
2013,1,1,1020,Sem cadastro,M,1,RUSP,Ciências Moleculares,,41
