Tipo de Unidade	Unidade	Sigla do Departamento	Departamento	Métrica	Semestre	Total
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Disciplinas Ministradas	1	289
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Disciplinas Ministradas	2	303
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Número de Turmas Teóricas	1	473
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Número de Turmas Práticas	1	56
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Dimensão da Turma Teórica	1	46
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Dimensão da Turma Prática	1	27
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Número de Turmas Teóricas	2	474
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Número de Turmas Práticas	2	67
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Dimensão da Turma Teórica	2	42
A - Ensino e Pesquisa	EACH	ACH	Artes, Ciências e Humanidades	Dimensão da Turma Prática	2	26
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Disciplinas Ministradas	1	0
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Disciplinas Ministradas	2	1
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Número de Turmas Teóricas	1	0
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Número de Turmas Práticas	1	0
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Dimensão da Turma Teórica	1	0
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Dimensão da Turma Prática	1	0
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Número de Turmas Teóricas	2	1
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Número de Turmas Práticas	2	0
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Dimensão da Turma Teórica	2	16
A - Ensino e Pesquisa	ECA	270	Disciplinas Interdepartamentais da Escola de Comunicações e Artes	Dimensão da Turma Prática	2	0
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Disciplinas Ministradas	1	36
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Disciplinas Ministradas	2	37
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Número de Turmas Teóricas	1	24
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Número de Turmas Práticas	1	12
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Dimensão da Turma Teórica	1	16
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Dimensão da Turma Prática	1	23
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Número de Turmas Teóricas	2	28
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Número de Turmas Práticas	2	9
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Dimensão da Turma Teórica	2	15
A - Ensino e Pesquisa	ECA	CAC	Artes Cênicas	Dimensão da Turma Prática	2	17
A - Ensino e Pesquisa	ECA	CAP	Artes Plásticas	Disciplinas Ministradas	1	49
A - Ensino e Pesquisa	ECA	CAP	Artes Plásticas	Disciplinas Ministradas	2	43
A - Ensino e Pesquisa	ECA	CAP	Artes Plásticas	Número de Turmas Teóricas	1	23
A - Ensino e Pesquisa	ECA	CAP	Artes Plásticas	Número de Turmas Práticas	1	41
A - Ensino e Pesquisa	ECA	CAP	Artes Plásticas	Dimensão da Turma Teórica	1	22
A - Ensino e Pesquisa	ECA	CAP	Artes Plásticas	Dimensão da Turma Prática	1	22
A - Ensino e Pesquisa	ECA	CAP	Artes Plásticas	Número de Turmas Teóricas	2	26
