codclg	codund	sglund	staareexa	staarehum	staarebio
1	1	RUSP   	N	N	N
1	41	IB     	N	N	S
1	42	ICB    	N	N	S
1	43	IF     	S	N	N
1	45	IME    	S	N	N
1	46	IQ     	S	N	N
2	2	FD     	N	S	N
3	3	EP     	S	N	N
4	4	IEE    	S	N	N
5	5	FM     	N	N	S
6	6	FSP    	N	N	S
7	7	EE     	N	N	S
8	8	FFLCH  	N	S	N
9	9	FCF    	N	N	S
10	10	FMVZ   	N	N	S
11	11	ESALQ  	N	S	S
12	12	FEA    	N	S	N
14	14	IAG    	S	N	N
16	16	FAU    	N	S	N
17	17	FMRP   	N	N	S
18	18	EESC   	S	N	N
21	21	IO     	S	N	N
22	22	EERP   	N	N	S
23	23	FO     	N	N	S
25	25	FOB    	N	N	S
26	14	IAG    	S	N	N
26	44	IGc    	S	N	N
27	27	ECA    	N	S	N
30	30	CEBIMar	N	N	S
31	31	IEB    	N	S	N
32	32	MAC    	N	S	N
33	33	MP     	N	S	N
36	36	MAE-D  	N	S	N
38	38	MZ     	N	N	S
39	39	EEFE   	N	N	S
41	41	IB     	N	N	S
42	42	ICB    	N	N	S
43	43	IF     	S	N	N
44	44	IGc    	S	N	N
45	45	IME    	S	N	N
46	46	IQ     	S	N	N
47	47	IP     	N	N	S
48	48	FE     	N	S	N
55	55	ICMC   	S	N	N
58	58	FORP   	N	N	S
59	59	FFCLRP 	S	S	S
60	60	FCFRP  	N	N	S
61	61	HRAC   	N	N	S
64	64	CENA   	S	N	N
65	1	RUSP   	N	N	N
66	5	FM     	N	N	S
66	43	IF     	S	N	N
71	71	MAE    	N	S	N
74	74	FZEA   	N	N	S
75	75	IQSC   	S	N	N
76	76	IFSC   	S	N	N
81	81	FEARP  	N	S	N
83	83	IMT    	N	N	S
85	85	IPEN   	S	N	N
86	86	EACH   	N	S	N
87	87	IRI    	N	S	N
88	88	EEL    	S	N	N
89	89	FDRP   	N	S	N
90	55	ICMC   	S	N	N
90	75	IQSC   	S	N	N
90	76	IFSC   	S	N	N
91	17	FMRP   	N	N	S
91	59	FFCLRP 	S	S	S
92	30	CEBIMar	N	N	S
92	41	IB     	N	N	S
93	14	IAG    	S	N	N
93	21	IO     	S	N	N
94	22	EERP   	N	N	S
94	81	FEARP  	N	S	N
95	58	FORP   	N	N	S
95	60	FCFRP  	N	N	S
96	59	FFCLRP 	S	S	S
96	81	FEARP  	N	S	N
97	18	EESC   	S	N	N
97	55	ICMC   	S	N	N
98	90	EEFERP 	N	N	S
99	93	IAU    	N	S	N
37	37	IEA    	N	S	N
67	5	FM     	N	N	S
100	9	FCF    	N	N	S
101	46	IQ     	S	N	N
102	6	FSP    	N	N	S
