id	codcur	codclg	sglclg	nomcur
1	1020	1	CG	Ciências Moleculares
2	1050	1	CG	Bacharelado em Relações Internacionais
3	1051	1	CG	Bacharelado em Relações Internacionais
4	1080	1	CG	Licenciatura em Ciências
5	3180	3	CG	Engenharia
6	2010	2	CG	Direito
7	2011	2	CG	Direito
8	2012	2	CG	Direito
9	2013	2	CG	Direito
10	3010	3	CG	Engenharia - Ciclo Básico
11	3011	3	CG	Engenharia
12	3020	3	CG	Engenharia Civil
13	3021	3	CG	Engenharia
14	3022	3	CG	Engenharia
15	3030	3	CG	Engenharia Elétrica
16	3031	3	CG	Engenharia
17	3032	3	CG	Engenharia
18	3040	3	CG	Engenharia Mecânica
19	3041	3	CG	Engenharia Mecânica
20	3042	3	CG	Engenharia Mecânica
21	3043	3	CG	Engenharia
22	3044	3	CG	Engenharia
23	3050	3	CG	Engenharia de Minas
24	3051	3	CG	Engenharia
25	3052	3	CG	Engenharia
26	3055	3	CG	Engenharia
27	3056	3	CG	Engenharia
28	3060	3	CG	Engenharia Metalúrgica
29	2014	2	CG	Direito
30	3061	3	CG	Engenharia
31	3062	3	CG	Engenharia
32	3070	3	CG	Engenharia Naval
33	3071	3	CG	Engenharia
34	3072	3	CG	Engenharia
35	3080	3	CG	Engenharia de Produção
36	3081	3	CG	Engenharia de Produção
37	3082	3	CG	Engenharia
38	3083	3	CG	Engenharia
39	3090	3	CG	Engenharia Química
40	3091	3	CG	Engenharia
41	3092	3	CG	Engenharia
42	3100	3	CG	Engenharia de Materiais
43	3101	3	CG	Engenharia
44	3102	3	CG	Engenharia
45	3110	3	CG	Engenharia Mecânica
46	3111	3	CG	Engenharia
47	3112	3	CG	Engenharia
48	3120	3	CG	Curso Cooperativo - Engenharia de Computação
49	3121	3	CG	Engenharia
50	3122	3	CG	Engenharia
51	3130	3	CG	Curso Cooperativo - Engenharia de Produção
52	3140	3	CG	Curso Cooperativo - Engenharia Química
53	3150	3	CG	Engenharia Ambiental
54	3151	3	CG	Engenharia
55	3160	3	CG	Engenharia Elétrica
56	3170	3	CG	Engenharia
57	3200	3	CG	Engenharia
58	5010	5	CG	Medicina Tradicional
59	5020	5	CG	Medicina Experimental
60	5030	5	CG	Medicina
61	5040	5	CG	Medicina
62	5041	5	CG	Medicina
63	5042	5	CG	Medicina
64	5043	5	CG	Medicina
65	5050	5	CG	Fisioterapia
66	5051	5	CG	Fisioterapia
67	5052	5	CG	Fisioterapia
68	5060	5	CG	Fonoaudiologia
69	5061	5	CG	Fonoaudiologia
70	5062	5	CG	Fonoaudiologia
71	5063	5	CG	Fonoaudiologia
72	5064	5	CG	Fonoaudiologia
73	5070	5	CG	Terapia Ocupacional
74	5071	5	CG	Terapia Ocupacional
75	5072	5	CG	Terapia Ocupacional
76	6000	6	CG	Nutrição
77	6010	6	CG	Nutrição
78	6011	6	CG	Nutrição
79	6020	6	CG	Bacharelado em Saúde Pública
80	6021	6	CG	Bacharelado em Saúde Pública
81	10012	10	CG	Medicina Veterinária
82	7010	7	CG	Enfermagem
83	7011	7	CG	Enfermagem
84	7012	7	CG	Enfermagem
85	8010	8	CG	Filosofia
86	8020	8	CG	Geografia
87	8021	8	CG	Geografia
88	8030	8	CG	História
89	8040	8	CG	Ciências Sociais
90	8050	8	CG	Letras
91	8051	8	CG	Letras
92	8060	8	CG	Lingüística
93	9010	9	CG	Farmácia
94	9011	9	CG	Farmácia - Bioquímica
95	9012	9	CG	Farmácia - Bioquímica
96	10010	10	CG	Medicina Veterinária
97	10011	10	CG	Medicina Veterinária
98	10020	10	CG	Zootecnia
99	11010	11	CG	Engenharia Agronômica
100	11020	11	CG	Engenharia Florestal
101	11030	11	CG	Economia Doméstica
102	11040	11	CG	Licenciatura em Ciências Agrárias
103	11050	11	CG	Ciências Econômicas
104	11060	11	CG	Ciências dos Alimentos
105	11061	11	CG	Ciências dos Alimentos
106	11070	11	CG	Ciências Biológicas
107	11080	11	CG	Gestão Ambiental
108	11090	11	CG	Bacharelado em Administração
109	11100	11	CG	Zootecnia
110	11110	11	CG	Estatística
111	12010	12	CG	Bacharelado em Administração
112	12011	12	CG	Bacharelado em Administração
113	12012	12	CG	Bacharelado em Administração
114	12020	12	CG	Ciências Contábeis e Atuariais
115	12030	12	CG	Ciências Contábeis
116	12031	12	CG	Ciências Contábeis
117	12032	12	CG	Bacharelado em Ciências Contábeis
118	12033	12	CG	Bacharelado em Ciências Contábeis
119	12040	12	CG	Ciências Atuariais
120	12041	12	CG	Ciências Atuariais
121	12042	12	CG	Bacharelado em Ciências Atuariais
122	12050	12	CG	Bacharelado em Ciências Econômicas
123	12051	12	CG	Bacharelado em Ciências Econômicas
124	12060	12	CG	Bacharelado em Administração
125	12061	12	CG	Bacharelado em Administração
126	12062	12	CG	Bacharelado em Administração
127	12070	12	CG	Bacharelado em Ciências Econômicas
128	12071	12	CG	Bacharelado em Ciências Econômicas
129	12080	12	CG	Bacharelado em Ciências Contábeis
130	14010	14	CG	Bacharelado em Meteorologia
131	14020	14	CG	Bacharelado em Geofísica
132	14021	14	CG	Bacharelado em Geofísica
133	14030	14	CG	Bacharelado em Astronomia
134	14040	14	CG	Bacharelado em Geofísica - "Campus" de Santos
135	16010	16	CG	Arquitetura e Urbanismo
136	16011	16	CG	Arquitetura e Urbanismo
137	16100	16	CG	Design
138	17010	17	CG	Medicina
139	17020	17	CG	Ciências Biológicas
140	17030	17	CG	Ciências Médicas - Ciclo Básico
141	17040	17	CG	Ciências Biológicas
142	9013	9	CG	Farmácia
143	17050	17	CG	Medicina
144	17100	17	CG	Fisioterapia
145	17200	17	CG	Terapia Ocupacional
146	17300	17	CG	Fonoaudiologia
147	17400	17	CG	Nutrição e Metabolismo
148	17500	17	CG	Ciências Biomédicas
149	18010	18	CG	Engenharia
150	18020	18	CG	Engenharia Civil
151	18021	18	CG	Engenharia Civil
152	18022	18	CG	Engenharia Civil
153	18023	18	CG	Engenharia Civil
154	27110	27	CG	Bacharelado em Relações Públicas
155	18030	18	CG	Engenharia Ambiental
156	18040	18	CG	Engenharia Elétrica
157	18041	18	CG	Engenharia Elétrica
158	18042	18	CG	Engenharia Elétrica
159	18045	18	CG	Engenharia Elétrica
160	18050	18	CG	Engenharia Elétrica
161	18060	18	CG	Engenharia Mecânica
162	18061	18	CG	Engenharia Mecânica
163	18062	18	CG	Engenharia Mecânica
164	18070	18	CG	Engenharia Aeronáutica
165	18080	18	CG	Engenharia de Produção
166	18081	18	CG	Engenharia de Produção
167	18082	18	CG	Engenharia de Produção Mecânica
168	18083	18	CG	Engenharia de Produção Mecânica
169	18084	18	CG	Engenharia de Produção
170	27120	27	CG	Bacharelado em Jornalismo
171	18100	18	CG	Arquitetura e Urbanismo
172	18101	18	CG	Arquitetura e Urbanismo
173	18102	18	CG	Arquitetura e Urbanismo
174	18103	18	CG	Arquitetura e Urbanismo
175	18200	18	CG	Engenharia de Computação
176	18250	18	CG	Engenharia Mecatrônica
177	18300	18	CG	Engenharia  Hídrica
178	18350	18	CG	Engenharia de Materiais e Manufatura
179	25030	25	CG	Medicina
180	17060	17	CG	Informática Biomédica
181	17061	17	CG	Informática Biomédica
182	18400	18	CG	Engenharia Química
183	18450	18	CG	Engenharia de Conversão de Energia
184	21010	21	CG	Bacharelado em Oceanografia
