coddis	codtur	matr
0060006	2017101	36
0060007	2017201	31
0060008	2017101	36
0060009	2017201	31
0060010	2017101	21
0060011	2017201	23
0060013	2017101	42
0060013	2017102	41
0060014	2017201	41
0060014	2017202	37
0060016	2017101	22
0060017	2017101	31
0060018	2017101	42
0060018	2017102	34
0060019	2017201	41
0060019	2017202	34
0060020	2017101	42
0060020	2017102	42
0060021	2017201	41
0060021	2017202	38
0060023	2017101	38
0060023	2017102	36
0060024	2017201	40
0060024	2017202	40
0060025	2017101	4
0060025	2017201	15
0060026	2017101	4
0060026	2017201	13
0060027	2017101	4
0060027	2017201	15
0060028	2017101	67
0060029	2017201	68
0100101	2017111	83
0100101	2017112	84
0100317	2017101	81
0100318	2017101	1
0100318	2017102	1
0100318	2017103	1
0100318	2017104	1
0100318	2017105	1
0100318	2017106	1
0100318	2017107	2
0100318	2017108	1
0100318	2017109	1
0100318	2017110	1
0100318	2017111	1
0100318	2017201	2
0100318	2017202	1
0100318	2017203	2
0100318	2017204	1
0100318	2017205	2
0100318	2017207	3
0100318	2017208	3
0100318	2017209	3
0100318	2017210	2
0100318	2017211	1
0100318	2017212	3
0100318	2017213	2
0100318	2017214	2
0100318	2017215	2
0100318	2017216	2
0100318	2017217	3
0100318	2017218	3
0100318	2017219	2
0100318	2017220	1
0100318	2017221	1
0100318	2017222	1
0100318	2017223	2
0100318	2017224	3
0100318	2017225	1
0100318	2017226	1
0100318	2017227	2
0100318	2017228	1
0100318	2017229	1
0100318	2017230	3
0100318	2017231	1
0100318	2017232	1
0100318	2017233	3
0100318	2017234	2
0100318	2017235	1
0100318	2017236	2
0100318	2017237	3
0100318	2017238	1
0100318	2017239	1
0110113	2017101	111
0110113	2017102	100
0110130	2017101	116
0110130	2017102	108
0110350	2017101	27
0110360	2017101	23
0110444	2017101	1
0110444	2017102	1
0110444	2017103	1
0110444	2017201	1
0110444	2017202	1
0110444	2017203	1
0110444	2017204	1
0110444	2017205	1
0110444	2017207	5
0110444	2017208	1
0110444	2017209	4
0110444	2017210	3
0110444	2017211	1
0110444	2017212	2
0110444	2017213	1
0110444	2017214	1
0110444	2017215	1
0110444	2017216	1
0110500	2017201	14
0110501	2017101	2
0110501	2017102	3
0110501	2017103	3
0110501	2017104	2
0110501	2017106	1
0110501	2017107	2
0110501	2017108	3
0110501	2017109	1
0110501	2017110	3
0110501	2017111	1
0110501	2017112	2
0110501	2017113	1
0110501	2017114	1
0110501	2017115	1
0110501	2017116	2
0110501	2017117	1
0110501	2017118	1
0110501	2017119	2
0110501	2017120	1
0110501	2017121	2
0110501	2017122	1
0110501	2017123	1
0110501	2017124	1
0110501	2017125	1
0110501	2017126	1
0110501	2017127	1
0110501	2017128	1
0110501	2017131	2
0110501	2017201	6
0110501	2017202	2
0110501	2017203	4
0110501	2017204	5
0110501	2017205	3
0110501	2017206	1
0110501	2017207	1
0110501	2017208	1
0110501	2017209	1
0110501	2017210	1
0110501	2017211	1
0110501	2017212	1
0110501	2017213	1
0110501	2017214	3
0110501	2017215	1
0110501	2017216	5
0110501	2017217	2
0110501	2017218	2
0110501	2017219	5
0110501	2017220	1
0110501	2017221	1
0110501	2017222	1
0110501	2017223	3
0110501	2017224	2
0110501	2017225	4
0110501	2017226	1
0110501	2017227	1
0110501	2017228	1
0110501	2017229	1
0110501	2017230	3
0110501	2017231	1
0110501	2017232	1
0110501	2017233	1
0110501	2017234	1
0110501	2017235	1
0110501	2017236	1
0110501	2017237	3
