id	codund	tipund	codcam	sglund	nomund
1	1	Órgãos Centrais - Direção e Serviço	10	RUSP	Reitoria da Universidade de São Paulo
2	2	Ensino e Pesquisa	10	FD	Faculdade de Direito
3	3	Ensino e Pesquisa	10	EP	Escola Politécnica
4	4	Centros e Institutos Especializados	10	IEE	Instituto de Energia e Ambiente
5	5	Ensino e Pesquisa	10	FM	Faculdade de Medicina
6	6	Ensino e Pesquisa	10	FSP	Faculdade de Saúde Pública
7	7	Ensino e Pesquisa	10	EE	Escola de Enfermagem
8	8	Ensino e Pesquisa	10	FFLCH	Faculdade de Filosofia, Letras e Ciências Humanas
9	9	Ensino e Pesquisa	10	FCF	Faculdade de Ciências Farmacêuticas
10	10	Ensino e Pesquisa	10	FMVZ	Faculdade de Medicina Veterinária e Zootecnia
11	11	Ensino e Pesquisa	30	ESALQ	Escola Superior de Agricultura "Luiz de Queiroz"
12	12	Ensino e Pesquisa	10	FEA	Faculdade de Economia, Administração e Contabilidade
13	13	Órgãos Centrais - Direção e Serviço	20	PUSP-B	Prefeitura do Campus Usp de Bauru
14	14	Ensino e Pesquisa	10	IAG	Instituto de Astronomia, Geofísica e Ciências Atmosféricas
15	15	Entidades Associadas	10	IPT	Instituto de Pesquisas Tecnológicas
16	16	Ensino e Pesquisa	10	FAU	Faculdade de Arquitetura e Urbanismo
17	17	Ensino e Pesquisa	60	FMRP	Faculdade de Medicina de Ribeirão Preto
18	18	Ensino e Pesquisa	50	EESC	Escola de Engenharia de São Carlos
19	19	Órgãos Centrais - Direção e Serviço	40	PUSP-FC	Prefeitura do Campus Usp "Fernando Costa"
20	20	Ensino e Pesquisa	10	SESA	Serviço Especial de Saúde de Araraquara
21	21	Ensino e Pesquisa	10	IO	Instituto Oceanográfico
22	22	Ensino e Pesquisa	60	EERP	Escola de Enfermagem de Ribeirão Preto
23	23	Ensino e Pesquisa	10	FO	Faculdade de Odontologia
24	24	Centros e Institutos Especializados	10	IR	Instituto de Reabilitação
25	25	Ensino e Pesquisa	20	FOB	Faculdade de Odontologia de Bauru
26	26	Centros e Institutos Especializados	10	IPH	Instituto de Pré-História
27	27	Ensino e Pesquisa	10	ECA	Escola de Comunicações e Artes
28	28	Centros e Institutos Especializados	10	IZ	Instituto Zimotécnico
29	29	Centros e Institutos Especializados	10	IPM	Instituto de Pesquisas Matemáticas
