id	codclg	sglclg	codund
1	1	BIO	46
2	1	CamCEx	1
3	1	CamG	1
4	1	CamPGr	1
5	1	CamPq	1
6	1	CAssess	10
7	1	CG	1
8	1	CG	41
9	1	CG	42
10	1	CG	43
11	1	CG	45
12	1	CG	46
13	1	CIL	1
14	1	CO	1
15	1	CoCEx	1
16	1	CoG	1
17	1	Comedit	1
18	1	CoPGr	1
19	1	CoPq	1
20	1	Cruesp	1
21	1	GT	1
22	2	BIO	10
23	2	CamCEx	1
24	2	CamPGr	1
25	2	CG	2
26	2	CONGREG	2
27	2	CPG	2
28	2	CTA	2
29	78	CoC	86
30	3	BIO	10
31	3	CamCEx	1
32	3	CamPGr	1
33	3	CG	3
34	3	CONGREG	3
35	3	CPG	3
36	3	CTA	3
37	80	CoC	88
38	4	BIO	42
39	4	CamCEx	1
40	4	CG	4
41	38	CGen	53
42	5	BIO	42
43	5	CG	5
44	5	CoDelib	1
45	5	CONGREG	5
46	5	CPG	5
47	5	CTA	5
48	13	CAssess	9
49	6	BIO	42
50	6	CEP	6
51	6	CG	6
52	6	CONGREG	6
53	6	CPG	6
54	6	CPq	6
55	6	CTA	6
56	6	LAB	58
57	2	TeD	90
58	7	BIO	83
59	7	CG	7
60	7	CoDelib	1
61	7	CONGREG	7
62	7	CPG	7
63	7	CTA	7
64	39	CGen	64
65	8	BIO	42
66	8	CG	8
67	8	CONGREG	8
68	8	CPG	8
69	8	CTA	8
70	40	CGen	64
71	9	BIO	42
72	9	CG	9
73	9	CONGREG	9
74	9	CPG	9
75	9	CTA	9
76	10	BIO	10
77	10	CEUA	10
78	10	CG	10
79	10	CONGREG	10
80	10	CPG	10
81	10	CTA	10
82	41	CGen	1
83	11	BIO	7
84	11	CEPID	8
85	11	CG	11
86	11	CONGREG	11
87	11	CPG	11
88	11	CPq	11
89	11	CTA	11
90	11	NAP	3
91	42	CGen	81
92	12	BIO	42
93	12	CG	12
94	12	CONGREG	12
95	12	CPG	12
96	12	CTA	12
97	10	CBib	10
98	43	CGen	81
99	13	BIO	5
100	14	BIO	5
101	14	CG	14
102	14	CONGREG	14
103	14	CPG	14
104	14	CTA	14
105	44	CGen	59
106	15	BIO	5
